Nome,Simbolo,Data,Maximo,Minimo,Abertura,Fechamento,Volume,Cap. de Mercado
Ethereum,ETH,2016-12-21,7.943600177764893,7.662859916687012,7.663660049438477,7.914400100708008,9393550.0,689718972.24
Ethereum,ETH,2016-12-22,7.90585994720459,7.501709938049316,7.899040222167969,7.585000038146973,16376700.0,661247898.755
Ethereum,ETH,2016-12-23,7.691740036010742,7.161139965057373,7.5769500732421875,7.166150093078613,19613100.0,624956487.409
Ethereum,ETH,2016-12-24,7.405429840087891,7.1524200439453125,7.1524200439453125,7.265769958496094,7626020.0,633871896.431
Ethereum,ETH,2016-12-25,7.341660022735596,7.13886022567749,7.26485013961792,7.175079822540283,8671840.0,626189631.467
Ethereum,ETH,2016-12-26,7.33381986618042,7.047510147094727,7.1321001052856445,7.274089813232422,5836810.0,635060698.562
Ethereum,ETH,2016-12-27,7.322579860687256,7.090469837188721,7.276370048522949,7.170820236206055,8778610.0,626268701.017
Ethereum,ETH,2016-12-28,7.624060153961182,7.082250118255615,7.148950099945068,7.520110130310059,17453300.0,657011884.058
Ethereum,ETH,2016-12-29,8.527409553527832,7.539130210876465,7.539130210876465,8.284159660339355,27543800.0,724028106.502
Ethereum,ETH,2016-12-30,8.466090202331543,8.054679870605469,8.28987979888916,8.159979820251465,13909900.0,713433620.431
Ethereum,ETH,2016-12-31,8.158559799194336,7.909379959106445,8.15114974975586,7.969099998474121,9066800.0,696993600.01
Ethereum,ETH,2017-01-01,8.471229553222656,7.982309818267822,7.982309818267822,8.17257022857666,14731700.0,715049207.868
Ethereum,ETH,2017-01-02,8.43632984161377,8.054409980773926,8.170869827270508,8.378510475158691,14579600.0,733331653.923
Ethereum,ETH,2017-01-03,9.996800422668455,8.317170143127441,8.374580383300781,9.725250244140623,33625200.0,851512055.174
Ethereum,ETH,2017-01-04,11.276399612426758,9.559809684753418,9.70928955078125,11.25160026550293,41051200.0,985515893.451
Ethereum,ETH,2017-01-05,11.890899658203123,9.402680397033691,11.286800384521484,10.254400253295898,41557400.0,898497892.252
Ethereum,ETH,2017-01-06,10.629199981689451,9.627289772033691,10.285799980163574,10.25469970703125,29471800.0,898845927.691
Ethereum,ETH,2017-01-07,10.280400276184082,9.58584976196289,10.240900039672852,9.86719036102295,23153600.0,865194523.291
Ethereum,ETH,2017-01-08,10.394800186157228,9.828900337219238,9.87257957458496,10.289799690246582,16676600.0,902576769.005
Ethereum,ETH,2017-01-09,10.78380012512207,10.13659954071045,10.313799858093262,10.325599670410156,25718300.0,906044584.406
